ST,STATE,ST_ABBR,STCNTY,COUNTY,FIPS,LOCATION,RPL_THEME1,RPL_THEME2,RPL_THEME3,RPL_THEME4,RPL_THEMES
29,MISSOURI,MO,29027,Callaway,29027070400,"Census Tract 704, Callaway County, Missouri",0.9005,0.4121,0.299,0.7925,0.7527
29,MISSOURI,MO,29131,Miller,29131962900,"Census Tract 9629, Miller County, Missouri",0.7239,0.7752,0.1808,0.8991,0.7534
29,MISSOURI,MO,29109,Lawrence,29109470300,"Census Tract 4703, Lawrence County, Missouri",0.752,0.5591,0.7723,0.562,0.7541
29,MISSOURI,MO,29083,Henry,29083950100,"Census Tract 9501, Henry County, Missouri",0.8327,0.8725,0.0641,0.7795,0.7549
29,MISSOURI,MO,29127,Marion,29127960500,"Census Tract 9605, Marion County, Missouri",0.9128,0.8465,0.2313,0.5014,0.7556
29,MISSOURI,MO,29187,St. Francois,29187951000,"Census Tract 9510, St. Francois County, Missouri",0.7866,0.786,0.0569,0.8999,0.7563
29,MISSOURI,MO,29095,Jackson,29095017500,"Census Tract 175, Jackson County, Missouri",0.7368,0.1945,0.8156,0.8451,0.757
29,MISSOURI,MO,29143,New Madrid,29143960100,"Census Tract 9601, New Madrid County, Missouri",0.641,0.9474,0.2212,0.8012,0.7578
29,MISSOURI,MO,29031,Cape Girardeau,29031880800,"Census Tract 8808, Cape Girardeau County, Missouri",0.9048,0.049,0.7529,0.8912,0.7585
29,MISSOURI,MO,29035,Carter,29035960100,"Census Tract 9601, Carter County, Missouri",0.8493,0.9251,0.183,0.5987,0.7592
29,MISSOURI,MO,29051,Cole,29051010600,"Census Tract 106, Cole County, Missouri",0.5609,0.5843,0.8458,0.7817,0.7599
29,MISSOURI,MO,29189,St. Louis,29189212300,"Census Tract 2123, St. Louis County, Missouri",0.6828,0.4092,0.8638,0.7205,0.7606
29,MISSOURI,MO,29189,St. Louis,29189210600,"Census Tract 2106, St. Louis County, Missouri",0.7967,0.8055,0.4892,0.5605,0.7614
29,MISSOURI,MO,29171,Putnam,29171960200,"Census Tract 9602, Putnam County, Missouri",0.8176,0.884,0.005,0.8314,0.7621
29,MISSOURI,MO,29077,Greene,29077002700,"Census Tract 27, Greene County, Missouri",0.385,0.6218,0.9063,0.9135,0.7628
29,MISSOURI,MO,29037,Cass,29037061300,"Census Tract 613, Cass County, Missouri",0.3569,0.7543,0.7154,0.9669,0.7635
29,MISSOURI,MO,29099,Jefferson,29099700111,"Census Tract 7001.11, Jefferson County, Missouri",0.7174,0.5901,0.6232,0.768,0.7642
29,MISSOURI,MO,29510,St. Louis City,29510116100,"Census Tract 1161, St. Louis city, Missouri",0.7376,0.2277,0.9748,0.6866,0.765
29,MISSOURI,MO,29063,DeKalb,29063080100,"Census Tract 801, DeKalb County, Missouri",0.6381,0.2082,0.5994,0.9906,0.7657
29,MISSOURI,MO,29153,Ozark,29153470100,"Census Tract 4701, Ozark County, Missouri",0.8846,0.6643,0.1232,0.8372,0.7664
29,MISSOURI,MO,29091,Howell,29091090700,"Census Tract 907, Howell County, Missouri",0.6294,0.8696,0.1463,0.9539,0.7671
29,MISSOURI,MO,29510,St. Louis City,29510118600,"Census Tract 1186, St. Louis city, Missouri",0.5833,0.0814,0.8761,0.9942,0.7678
29,MISSOURI,MO,29109,Lawrence,29109470200,"Census Tract 4702, Lawrence County, Missouri",0.6244,0.9143,0.1268,0.9438,0.7686
